ISBN,Book_Title,Author,Average_Rating,Number_Of_Ratings
9780395071229,"The Hobbit","J. R. R. Tolkien",7.25,8
9780448095264,"Clue of the Leaning Chimney (Nancy Drew (Hardcover))","Carolyn Keene",6.40,5
9780440772095,"RAMONA THE PEST (Ramona Quimby (Paperback))","BEVERLY CLEARY",6.00,5
9780060263959,"Stuart Little 60th Anniversary Edition","E. B. White",5.88,8
9780448095226,"The Clue in the Crumbling Wall (Nancy Drew Mystery Stories, No 22)","Carolyn Keene",5.40,5
9780684717975,"Farewell to Arms","Ernest Hemingway",5.31,13
9780582530089,"Animal Farm (Bridge)","Naura Hayden",5.20,5
9780717802418,"Manifesto of the Communist Party","Karl Marx",4.83,6
9780448095240,"The Clue in the Old Album (Nancy Drew Mystery Stories, No 24)","Carolyn Keene",4.57,7
9780684830681,"Gone With the Wind","Margaret Mitchell",4.38,8
